FirstName	MiddleName	LastName	Address_Street	Address_City	Address_State	Address_ZipCode	Address_Country	GovernmentNumber	IdState	IdNumber	HomePhone	BirthDate
Tristan		Philabaum	13 West 29Th St	New York 	NY	10001-4514	USA	666-99-4814	NY	104000048	(201) 854-0013	1962-08-10
Ricardo		Wear	6625 Echo Bluff	Austin	TX	50658	USA	665-41-2456				1958-09-16
Ernestine		Keyna	1617 Saracen St	Pine Bluff	AR	71601	USA	666-99-4957			(248) 203-0199	1963-01-01
Numbers		Patriarco	279 South El Paso Apt 13	El Paso	TX	79901	USA	666-99-4717	TX	71000572	(915) 217-0107	1988-11-23
Robyn		Menso	0114 S Maryland Pkwy	Las Vegas	NV	89101	USA	666-99-4944	NV	1000000012	(702) 207-0045	1963-01-01
Buck		Pavelski	Po Box 200077	South Ozone Park	NY	13601	USA	666-49-9938			(734) 555-9234	1964-08-04
Margaret		Crumm	6109 Steilacoom Boulevard Sw	Lakewood	WA	98499-2666	USA	666-99-4828	MD	M1210000001400912	(301) 208-0110	1953-11-11
Buford		Cocopoti	22 E Washington St	Indianapolis	IN	46204-3561	USA	666-99-4818	IN	1000000152	(310) 306-0019	1971-01-01
Katheryn	A	Tanguma	5901 W Michigan Ave	Lansing	MI	48908	USA	999-01-1234	MI	J123962189451	(517) 393-1321	1981-08-01
Ma		Tanguma	166 Beacon St	Boston	MA	02116	USA	666-99-3897	MA	810000310	(413) 213-0126	1990-10-08
Ira		Parmar	50 Exeter Street	Boston	MO	02116	USA	666-99-0156	TX	71000011	(940) 964-0003	1961-01-01
Marion		Crossland	8156 N Church Rd	Kansas City	MO	64158	USA	666-99-9753	MO	610000096	(816) 407-0058	1988-02-13
Arlen		Wamboldt	091 Main St	Agawam	MA	01001	USA	666-99-4367	MA	M82000237	(413) 525-0082	1981-08-01
Lucy	M	Zwolak	152 Townsend St	Birmingham	MI	48009	USA	666-99-0438	MI	M4200000007	(248) 203-0052	1974-12-06
Aurora		Wunsch	11273 Harry Hines	Dallas	TX	75229-4606	USA	666-01-2885	TX	14400611	(214) 219-0001	1960-01-02
Lemuel		Kressin	307 Supor Blvd	Harrison	NJ	00029	USA	666-12-4085	NJ	J31000000000059	(973) 412-0246	1960-09-20
Dollie		Aries	14444 South Alameda Street	Los Angeles	CA	90021	USA	666-99-4369	CA	C0000233	(213) 438-0001	1989-09-09
Neal		Nguy	208 South 4Th Street	Saint Louis	MO	63102	FRA	960-77-4876	MO	M6200120	(314) 231-0207	1988-06-07
Jaclyn		Szysh	128 128 2Nd Floor	Pago Pago	AS	96799	ASM	666-99-4368	AS	600001	(619) 221-4321	1987-02-01
