Id	FirstName	MiddleName	LastName	Address_Street	Address_City	Address_State	Address_ZipCode	Address_Country	GovernmentNumber	IdState	IdNumber	HomePhone	BirthDate
1	Tristan		Philabaum	13 West 29Th St	New York 	NY	10001-4514	USA	666-99-4814	NY	104000048	(201) 854-0013	08/10/1962
2	Ricardo		Wear	6625 Echo Bluff	Austin	TX	50658	USA	665-41-2456				09/16/1958
3	Ernestine		Keyna	1617 Saracen St	Pine Bluff	AR	71601	USA	666-99-4957			(248) 203-0199	01/01/1963
4	Numbers		Patriarco	279 South El Paso Apt 13	El Paso	TX	79901	USA	666-99-4717	TX	71000572	(915) 217-0107	11/23/1988
5	Robyn		Menso	0114 S Maryland Pkwy	Las Vegas	NV	89101	USA	666-99-4944	NV	1000000012	(702) 207-0045	01/01/1963
6	Buck		Pavelski	Po Box 200077	South Ozone Park	NY	13601	USA	666-49-9938			(734) 555-9234	08/04/1964
7	Margaret		Crumm	6109 Steilacoom Boulevard Sw	Lakewood	WA	98499-2666	USA	666-99-4828	MD	M1210000001400912	(301) 208-0110	11/11/1953
8	Buford		Cocopoti	22 E Washington St	Indianapolis	IN	46204-3561	USA	666-99-4818	IN	1000000152	(310) 306-0019	01/01/1971
9	Katheryn	A	Tanguma	5901 W Michigan Ave	Lansing	MI	48908	USA	999-01-1234	MI	J123962189451	(517) 393-1321	08/01/1981
10	Ma		Tanguma	166 Beacon St	Boston	MA	2116	USA	666-99-3897	MA	810000310	(413) 213-0126	10/08/1990
11	Ira		Parmar	50 Exeter Street	Boston	MO	2116	USA	666-99-0156	TX	71000011	(940) 964-0003	01/01/1961
12	Marion		Crossland	8156 N Church Rd	Kansas City	MO	64158	USA	666-99-9753	MO	610000096	(816) 407-0058	02/13/1988
13	Arlen		Wamboldt	091 Main St	Agawam	MA	1001	USA	666-99-4367	MA	M82000237	(413) 525-0082	08/01/1981
14	Lucy	M	Zwolak	152 Townsend St	Birmingham	MI	48009	USA	666-99-0438	MI	M4200000007	(248) 203-0052	12/06/1974
15	Aurora		Wunsch	11273 Harry Hines	Dallas	TX	75229-4606	USA	666-01-2885	TX	14400611	(214) 219-0001	01/02/1960
